Prssure Tap Angle (degrees),Cylinder Manometer (kPa),Airspeed Manometer (mmH2O),Measured Drag (N)
0,0.2972,28.0,4.30
10,0.2835,26.5,4.22
20,0.2030,26.5,4.33
30,0.0695,26.5,4.22
40,-0.1014,26.0,4.10
50,-0.2830,26.0,4.15
60,-0.4435,26.0,4.22
70,-0.5834,26.0,4.16
80,-0.6335,26.0,4.18
90,-0.5846,26.0,4.23
100,-0.5610,26.0,4.35
110,-0.3757,26.5,4.37
120,-0.3091,26.5,4.27
130,-0.2696,26.5,4.31
140,-0.2558,26.5,4.29
150,-0.2533,26.5,4.32
160,-0.2674,26.5,4.43
170,-0.2358,26.5,4.45
180,-0.2335,26.5,4.37